prompt,ner
Highlight the customer name with green text if the corresponding cost is less than the minimum charge. ,Highlight (Function) the customer (ColumnLetter) name with green (Color) text if the corresponding cost is less than the minimum charge.
Highlight the Sales column cells > 600$ with red fill and white text. ,Highlight (Function) the (Source) Sales (ColumnField) column (Source) cells (DataType) > (Criteria) 600$ (Text) with (Color) red (Color) fill and (Color) white (Color) text.
Apply red fill to the cells in the Sales column that are less than 250. ,Apply(red) red(Fill) to the cells in the Sales(ColumnName) column that are less than 250.
Apply blue fill to the cells in the Sales column that are greater than 500. ,Apply (Function) blue (Color) fill to the cells in the Sales (ColumnName) column that are greater than 500.
Highlight cells with a green background color if their values are above the average. ,Highlight(cells) (Function) with a (FillColor) green (Color) background color if their values are above the (average) (Criteria).
Highlight the Sales Rep cells whose corresponding values in the Sales column are above the median. Apply green fill with white text. ,Highlight (Function) the Sales (Source) Rep cells whose corresponding values in the Sales (Source) column are above the median. Apply green (FillColor) fill with white (Color) text.
Set the fill color of the Invoice No. column cells whose corresponding values in the Sales column range between 200 and 500 as green. ,Set (Function) the (Fill) fill (Fill) color of the (ColumnName) Invoice (No.) column cells whose corresponding values in the (ColumnName) Sales column range between 200 and 500 as (Color) green.
Set cells in the Sales column that are on 5/25/2011 as red fill with white text. ,Set (Function) cells (Source) in (Destination) the (Source) Sales (ColumnName) column (ColumnField) that (Criteria) are on 5/25/2011 as (Color) red (FillColor) fill with (Color) white (Font) text.
Highlight the column D cells greater than 0.1 in green. ,Highlight (Function) the (Source) column (ColumnLetter) D (ColumnLetter) cells (DataType) greater than 0.1 (Number) in (Color) green.
Set the background color of the column F cells less than 40000 to red. ,Set (Function) the background (FillColor) color of the column (ColumnLetter) F cells less than 40000 to (Source) red.
Highlight the years in columns B and C whose simple interest is less than or equal to 20 with green fill. ,Highlight (Function) the (blank) years (Criteria) in (Destination) columns (ColumnLetter) B (ColumnLetter) and (blank) C (ColumnLetter) whose (blank) simple interest (Criteria) is less than or equal to 20 with (blank) green (FillColor) fill.
Highlight the years in columns B and C whose compound interest is greater than 40 with yellow fill. ,Highlight (Function) the (Entity: ColumnLetter) years in (Entity: ColumnLetter) columns (Source: ColumnLetter) B and (Source: ColumnLetter) C whose compound interest is greater than 40 with (Entity: FillColor) yellow fill.
Highlight the values below 5% with red fill. ,Highlight(O) the(values) below(criteria) 5%(Criteria) with (FillColor) red(FillColor) fill(Fill).
Highlight the stock name with green fill if its value increased. ,Highlight(O) the(stock) stock(Name) name(with) with(green) green(fill) fill(if) if(its) its(value) value(increased) increased.
Change the font color of the corresponding Range column cells to red if the column A angle < 75 and the column C height > 0.25. ,Change (Function) the (Source) font (Property) color (Property) of (Property) the (Criteria) corresponding (Source) Range (Entity) column (Entity) cells (Entity) to (Function) red (Color) if (Function) the (Key) column (Entity) A angle < (Criteria) 75 and (Function) the (Key) column (Entity) C height > (Criteria) 0.25.
Highlight the corresponding cell in the Angle column with green fill if the corresponding cell value in the Range column is increasing. ,Highlight (Function) the corresponding (ColumnLetter) cell in the Angle (ColumnName) column with (Color) green fill if the corresponding (Cell) cell value in the (ColumnLetter) Range (Source) column is increasing.
Highlight married respondents with white text and yellow fill. ,Highlight (Function) married (Criteria) respondents with (SourceSheet) white (Color) text and yellow (FillColor) fill.
Mark the net profit margins ranking top with red fill. ,Mark (Function) the net (Source) profit (Function) margins (Function) ranking (Function) top (Function) with red (Color) fill.
"Highlight the highest result in the ""Period Rate (%)"" column as green. ","Highlight (Function) the highest (Criteria) result in the ""Period Rate (%)"" (Source) column (ColumnField) as green (Color). 

Tokens with tags:
- Highlight (Function)
- the (O)
- highest (Criteria)
- result (O)
- in (O)
- the (O)
- ""Period Rate (%)"" (Source)
- column (ColumnField)
- as (O)
- green (Color)"
Freeze the first two columns. ,Freeze (Function) the (NewDestination) first (Key) two (Key) columns.
Keep the headers in the first row visible when scrolling vertically or horizontally. ,Keep (Function) the headers (Source) in (NewDestination) the first row (Destination) visible (Function) when (Function) scrolling (Function) vertically (Function) or (Function) horizontally (Function).
Make the headers remain visible while scrolling. ,"Make(Function) the(ColumnLetter) headers remain(visible) while(Function) scrolling. 

In this sentence, ""Make"" is tagged as the Function tag, ""headers"" is tagged as the ColumnLetter tag, ""visible"" is not a recognized tag, and ""scrolling"" is tagged as the Function tag."
Keep the header row visible when scrolling vertically or horizontally. ,Keep (Function) the header (Source) row (Source) visible when (Function) scrolling (Function) vertically (Orientation) or (Function) horizontally (Orientation).
Keep the header row visible while scrolling in any direction. ,Keep (Function) the header (Destination) row (Source) visible while scrolling in any direction.
Keep the headers visible when scrolling horizontally or vertically. ,"Keep (Function) the (Destination) headers (Source) visible when scrolling horizontally or vertically. 

- Function: -
- Destination: -
- Source: -"
Keep the column headers always visible while scrolling. ,"Keep (Function) the column (Source) headers always visible while scrolling. 

1. Function: Keep
2. Source: Column

(Note: In this sentence, the tag ""Function"" is not mentioned explicitly, but the action described in the sentence is indicated by the verb ""Keep."")"
Display the total of each month as bars. ,Display(Orientation: 'columns') the total(Function: 'sum') of each month as bars.
Illustrate the trends of columns E and I with a line chart. Display the legend at the bottom. ,Illustrate (Function) the trends (Name) of columns (Source: ColumnName) E (ColumnField) and I (ColumnField) with a line (ChartType) chart. Display (Function) the legend (ChartLegend) at the bottom (ChartLegendPosition).
Plot a bar chart in this new sheet for the pivot table with chart title 'Sales frequency by website' and without legends. ,Plot (Function) a bar (ChartType) chart in this new (NewDestinationSheet) sheet for the pivot (Source) table with chart (Destination) title 'Sales frequency by website' and without (ChartLegend) legends.
Plot a column chart in the new sheet illustrating this pivot table with chart title 'Revenue of each product' and without legends. ,"Plot(Source=column, ChartType=column, NewDestinationSheet=True, Name=pivot table, ChartTitle='Revenue of each product', ChartLegend=False)"
"Create a line chart with the ""Date Time"" column on the X-axis and quantity on the Y-axis. ","Create (Function) a line (ChartType) chart with the ""Date (XField) Time"" column on the X-axis (ChartXAxis) and quantity on the Y-axis (ChartYAxis)."
Create a bar chart for the results. ,"Create (Function) a bar (ChartType) chart (Function) for the results.

Tokenized sentence with NER tags:
- Create (Function)
- a (ChartType)
- bar (ChartType)
- chart (Function)
- for the results."
Create a bar chart in the same sheet to display the table with data labels on top of the bars. ,Create (Function) a (ChartType) bar (ChartType) chart (Function) in the (DestinationSheet) same (DestinationSheet) sheet (SourceSheet) to (Function) display (Function) the (Source) table (Source) with (ChartDataLabels) data (ChartDataLabels) labels (Function) on (ChartMarkerField) top (ChartDataLabels) of (ChartMarkerField) the (ChartType) bars (ChartMarkerField).
Display the result on a bar chart. ,"Display (Function) the result on a bar (ChartType) chart. 

Token Tags:
- Display (Function)
- the (O)
- result (O)
- on (O)
- a (O)
- bar (ChartType)
- chart (ChartType)"
Display the result with a column chart in a new sheet. ,"Display(O) the(result) result with(O) a(chart) column(chart) chart(chart) in(O) a(new) new(sheet) sheet.

Entities:
- Function: Display
- Destination: chart
- ChartType: column
- NewDestinationSheet: true"
Draw a scatter plot with smooth lines and without markers to show column A (X-axis) vs. column B (Y-axis). ,Draw (Function) a scatter plot with smooth (ChartMarkerStyle) lines and without (ChartMarkerStyle) markers to show column (ColumnField) A (XField) (X-axis) vs. column (ColumnField) B (YField) (Y-axis).
Create a scatter chart in a new sheet with acceleration on the y-axis and the hanging mass on the x-axis. ,Create(O) a scatter(O) chart(Source) in(O) a new(B) sheet(NewDestinationSheet) with acceleration(YField) on(O) the(B) y-axis(ChartYAxis) and(O) the(B) hanging(B) mass(YField) on(O) the(B) x-axis(ChartXAxis).
Plot acceleration values on the y-axis and hanging mass values on the x-axis in a scatter chart with a smooth line without markers. ,"Token (Entity Tag): 
Plot (Function) acceleration (Source) values (Name) on (Destination) the (Destination) y-axis (ChartYAxis) and (Function) hanging (Source) mass (Source) values (Name) on (Destination) the (Destination) x-axis (ChartXAxis) in (Function) a (Function) scatter (ChartType) chart (Function) with (Function) a (Function) smooth (ChartTrendlineType) line (Function) without (Function) markers (ChartMarkerStyle)."
Create a line chart showing the acceleration vs. hanging mass. ,Create(O) a(Line) line(Chart) chart(Function) showing the(Chart) acceleration(Destination) vs.(Function) hanging(Destination) mass(Destination).
